id,key,value,type
235231977,place_of_worship,musalla,regular
235272109,name,Seksyen 9,regular
235272109,is_in,"Bandar Baru Bangi, Selangor, Malaysia",regular
235272109,place,hamlet,regular
235272109,created_by,Potlatch 0.6b,regular
237651358,name,Plaza Tol Bangi,regular
237651358,barrier,toll_booth,regular
237651358,en,Bangi Toll Plaza,name
237651358,operator,PLUS Expressways,regular
242124723,name,Petronas,regular
242124723,amenity,fuel,regular
242126347,name,Petronas,regular
242126347,is_in,"SILK, Kajang, Selangor, Malaysia",regular
242126347,amenity,fuel,regular
242126347,created_by,Potlatch 0.6c,regular
242162607,ref,1812,regular
242162607,highway,motorway_junction,regular
242163153,ref,902,regular
242163153,highway,motorway_junction,regular
242163771,name,Plaza Tol MEX Putrajaya,regular
242163771,barrier,toll_booth,regular
242163771,zh,布城收费站,name
242186440,amenity,place_of_worship,regular
242186440,religion,hindu,regular
242186440,created_by,Potlatch 0.6c,regular
242245426,highway,traffic_signals,regular
242248697,highway,traffic_signals,regular
242919173,created_by,JOSM,regular
242919177,created_by,JOSM,regular
242919189,created_by,JOSM,regular
242919195,created_by,JOSM,regular
242919207,created_by,JOSM,regular
242919225,created_by,JOSM,regular
242919227,created_by,JOSM,regular
242919239,created_by,JOSM,regular
242919243,created_by,JOSM,regular
242919251,created_by,JOSM,regular
242919260,created_by,JOSM,regular
242919282,created_by,JOSM,regular
242919296,created_by,JOSM,regular
242919301,created_by,JOSM,regular
242919306,created_by,JOSM,regular
242919313,created_by,JOSM,regular
242919331,created_by,JOSM,regular
242919394,created_by,JOSM,regular
242919400,created_by,JOSM,regular
242919404,created_by,JOSM,regular
242919417,created_by,JOSM,regular
242919425,created_by,JOSM,regular
242919438,created_by,JOSM,regular
242919454,created_by,JOSM,regular
242919458,created_by,JOSM,regular
242919463,created_by,JOSM,regular
242919472,created_by,JOSM,regular
242919481,created_by,JOSM,regular
242919487,created_by,JOSM,regular
242919498,created_by,JOSM,regular
242919507,created_by,JOSM,regular
242919517,created_by,JOSM,regular
242919524,created_by,JOSM,regular
242919545,created_by,JOSM,regular
242919570,created_by,JOSM,regular
242919575,created_by,JOSM,regular
242919580,created_by,JOSM,regular
242919593,created_by,JOSM,regular
242919604,created_by,JOSM,regular
242919609,created_by,JOSM,regular
242919613,created_by,JOSM,regular
242919623,created_by,JOSM,regular
242919638,created_by,JOSM,regular
242919658,created_by,JOSM,regular
242919660,created_by,JOSM,regular
242919663,created_by,JOSM,regular
242919665,created_by,JOSM,regular
242919672,created_by,JOSM,regular
242919674,created_by,JOSM,regular
242920274,created_by,JOSM,regular
242920279,created_by,JOSM,regular
242920304,created_by,JOSM,regular
242920309,created_by,JOSM,regular
242920313,created_by,JOSM,regular
242920321,created_by,JOSM,regular
242920334,created_by,JOSM,regular
242920343,created_by,JOSM,regular
242920346,created_by,JOSM,regular
242920905,created_by,JOSM,regular
242920909,created_by,JOSM,regular
242920921,created_by,JOSM,regular
242920939,created_by,JOSM,regular
242920943,created_by,JOSM,regular
242920952,created_by,JOSM,regular
242920960,created_by,JOSM,regular
242920977,created_by,JOSM,regular
242920981,created_by,JOSM,regular
242920987,created_by,JOSM,regular
242921063,created_by,JOSM,regular
242921068,created_by,JOSM,regular
242921079,created_by,JOSM,regular
242921084,created_by,JOSM,regular
242921148,created_by,JOSM,regular
242921155,created_by,JOSM,regular
242921160,created_by,JOSM,regular
242921180,created_by,JOSM,regular
242921186,created_by,JOSM,regular
242921209,created_by,JOSM,regular
242921211,created_by,JOSM,regular
243205289,created_by,JOSM,regular
243205295,created_by,JOSM,regular
243205303,created_by,JOSM,regular
243205321,created_by,JOSM,regular
243205326,created_by,JOSM,regular
243205348,created_by,JOSM,regular
243205357,created_by,JOSM,regular
243205361,created_by,JOSM,regular
243205364,created_by,JOSM,regular
243205368,created_by,JOSM,regular
243205372,created_by,JOSM,regular
243205381,created_by,JOSM,regular
243205384,created_by,JOSM,regular
243205388,created_by,JOSM,regular
