id,user,uid,version,changeset,timestamp
14367127,RunRunShow,3553413,10,37414489,2016-02-24T15:20:17Z
14367204,nyem,10463,2,613923,2008-09-12T19:44:20Z
14367297,Samson Cheong,427961,7,45798357,2017-02-04T07:47:27Z
14367451,Samson Cheong,427961,13,42768021,2016-10-10T04:45:21Z
14367715,kucai,536853,9,15427693,2013-03-20T05:39:24Z
14367768,Samson Cheong,427961,9,45803209,2017-02-04T12:13:53Z
14367985,miezarnd,1818057,4,21006997,2014-03-09T14:55:29Z
14368009,kucai,536853,5,13438814,2012-10-10T10:03:18Z
14368112,kucai,536853,8,14237343,2012-12-11T12:33:52Z
14368614,OfficiallyAhmad,5762467,12,48888093,2017-05-22T13:08:03Z
14369184,Samson Cheong,427961,11,17287083,2013-08-10T04:21:18Z
14369788,nyem,10463,5,101703,2009-02-03T21:14:25Z
14370404,RunRunShow,3553413,18,37600903,2016-03-04T05:13:53Z
14370466,Kai Adam,5259280,8,47133866,2017-03-24T20:09:33Z
14370570,kucai,536853,3,20385424,2014-02-05T04:04:17Z
14370704,Kai Adam,5259280,3,47108912,2017-03-23T21:53:20Z
14370750,Kai Adam,5259280,7,47108912,2017-03-23T21:53:20Z
14370770,Kai Adam,5259280,6,47108912,2017-03-23T21:53:20Z
14370951,feiming,195668,5,11015842,2012-03-18T08:33:01Z
14370961,mccay_l,709025,5,12064502,2012-06-30T10:40:48Z
14371164,nyem,10463,6,517554,2008-07-17T18:33:30Z
14371302,feiming,195668,12,17328477,2013-08-13T09:44:40Z
14371518,kucai,536853,7,22482735,2014-05-22T10:45:15Z
14371545,nyem,10463,5,75659,2008-08-05T14:06:54Z
14372410,nyem,10463,5,104101,2008-06-09T04:25:18Z
14487289,samden,427807,3,13190187,2012-09-21T01:43:01Z
14487537,RunRunShow,3553413,8,37329852,2016-02-20T14:49:04Z
14488077,samden,427807,6,13190187,2012-09-21T02:11:35Z
14488224,nyem,10463,3,47670,2008-12-02T17:19:11Z
14488381,Lothh,605727,3,12116267,2012-07-05T03:23:43Z
14489022,mahau,160164,8,15915722,2013-04-30T02:34:30Z
14489398,mahau,160164,7,15906889,2013-04-29T11:05:51Z
14489698,Pizza1016,838520,6,26921884,2014-11-21T05:59:59Z
14489888,Kai Adam,5259280,5,49278654,2017-06-05T17:34:13Z
14489982,nyem,10463,12,649397,2009-02-24T03:34:01Z
14490131,nyem,10463,4,851252,2009-01-29T12:38:57Z
14490651,kucai,536853,11,13344829,2012-10-03T09:36:11Z
14490794,nyem,10463,8,851252,2009-01-29T12:36:40Z
14491373,nyem,10463,11,632407,2008-09-14T19:21:32Z
14491419,nyem,10463,6,850636,2009-01-29T10:53:48Z
14491480,nyem,10463,8,850636,2009-01-29T10:53:42Z
14491514,nyem,10463,3,850636,2009-01-29T10:53:43Z
14492241,RunRunShow,3553413,33,48536118,2017-05-09T16:08:01Z
14492331,sabre23t,1372,6,10928105,2012-03-10T04:21:32Z
14492677,danielkok,1793309,26,21854399,2014-04-22T04:33:11Z
14493421,nyem,10463,10,101703,2009-02-03T20:38:36Z
14493753,RunRunShow,3553413,12,37736190,2016-03-10T15:02:46Z
14494063,kucai,536853,3,26212630,2014-10-20T13:20:13Z
14494112,nyem,10463,6,867734,2009-03-29T16:58:44Z
14564782,nyem,10463,7,101703,2009-02-03T21:14:50Z
14566085,iWowik,481934,15,49591835,2017-06-16T14:04:16Z
14579158,kucai,536853,7,42710517,2016-10-07T13:06:42Z
14579417,Kai Adam,5259280,17,48863940,2017-05-21T14:53:28Z
14579475,rusliaziz,416545,3,7460037,2011-03-05T04:54:32Z
14616838,RunRunShow,3553413,13,37426557,2016-02-25T03:01:18Z
14616920,nyem,10463,4,217747,2009-02-07T00:34:39Z
14617064,RunRunShow,3553413,6,37426557,2016-02-25T03:01:17Z
14617102,dinastik,1927974,4,50219454,2017-07-12T06:39:36Z
14621974,feiming,195668,4,11508852,2012-05-05T15:04:46Z
15161531,RunRunShow,3553413,11,50178410,2017-07-10T14:40:01Z
15161782,nyem,10463,2,68634,2007-12-04T03:21:07Z
15166301,kucai,536853,4,18778088,2013-11-08T08:26:34Z
15166385,nyem,10463,2,68634,2007-12-04T03:55:45Z
15166567,kucai,536853,5,45221394,2017-01-16T17:59:40Z
15169478,kucai,536853,6,45221394,2017-01-16T17:59:41Z
15173449,sabre23t,1372,5,10928105,2012-03-10T04:21:30Z
15174272,kucai,536853,5,19782652,2014-01-03T09:23:32Z
15175060,danielkok,1793309,19,21854399,2014-04-22T04:33:11Z
15176288,danielkok,1793309,8,33382173,2015-08-17T05:47:04Z
15176775,RunRunShow,3553413,10,37624317,2016-03-05T10:15:13Z
15177889,danielkok,1793309,13,25453999,2014-09-15T12:07:39Z
15178914,sabre23t,1372,3,573488,2008-09-08T13:06:28Z
15178954,RunRunShow,3553413,29,44324868,2016-12-11T15:13:21Z
15179785,RunRunShow,3553413,21,37620614,2016-03-05T03:35:37Z
15180269,RunRunShow,3553413,7,37620614,2016-03-05T03:35:35Z
15181073,kucai,536853,5,19782652,2014-01-03T09:23:30Z
15181227,RunRunShow,3553413,19,37624317,2016-03-05T10:15:15Z
15182707,RunRunShow,3553413,4,37620614,2016-03-05T03:35:41Z
15196013,nyem,10463,8,101703,2009-02-03T21:12:55Z
15218393,samden,427807,8,14643177,2013-01-14T01:01:36Z
15218427,mahau,160164,6,21624492,2014-04-11T10:47:28Z
15218740,Mikitasan,5167475,10,45363246,2017-01-22T04:53:27Z
15239239,nyem,10463,2,107434,2008-06-09T11:22:10Z
15240239,NE2,207745,26,9181205,2011-09-01T02:33:45Z
15240241,Samson Cheong,427961,6,12701928,2012-08-12T14:32:42Z
15805461,mahau,160164,6,11524991,2012-05-07T05:02:48Z
15805561,xybot,70696,9,1900098,2009-07-21T23:51:30Z
15805967,nyuriks,339581,30,46945989,2017-03-18T01:46:22Z
15806456,Kai Adam,5259280,10,47343189,2017-03-31T23:49:56Z
15806494,Pizza1016,838520,5,27045928,2014-11-26T14:45:54Z
15806583,Pizza1016,838520,9,27045928,2014-11-26T14:45:54Z
15806631,nyuriks,339581,14,46945989,2017-03-18T01:46:23Z
15882103,Kai Adam,5259280,10,49278654,2017-06-05T17:34:12Z
15943876,ArjanO,38066,7,43329123,2016-11-01T16:03:02Z
15944320,Kai Adam,5259280,11,49708615,2017-06-21T02:13:38Z
16237150,nyem,10463,7,649397,2009-02-24T03:33:58Z
16237173,nyem,10463,5,851252,2009-01-29T12:39:46Z
16237183,nyem,10463,4,851252,2009-01-29T12:39:43Z
16266626,RunRunShow,3553413,17,49212739,2017-06-03T05:46:32Z
16267388,RunRunShow,3553413,9,37751772,2016-03-11T05:35:06Z
16267465,nyem,10463,7,413127,2008-10-18T11:42:56Z
16267644,nurhazirah,2319182,11,25320130,2014-09-09T04:29:35Z
16270251,Moovit Team,1190212,4,20731275,2014-02-23T12:52:53Z
16270277,Lothh,605727,4,12116267,2012-07-05T03:23:39Z
16270859,nyem,10463,3,632407,2008-09-14T19:20:07Z
16270935,nyem,10463,5,123824,2008-08-07T18:11:36Z
16271001,nyem,10463,5,123824,2008-08-07T18:11:33Z
16383215,nyem,10463,11,1339654,2009-05-28T06:40:30Z
16383381,nyem,10463,7,632407,2008-09-14T19:21:52Z
16554709,kucai,536853,13,10242583,2011-12-30T07:30:02Z
16554866,kucai,536853,4,17452978,2013-08-22T10:04:27Z
16554912,nyem,10463,3,316209,2007-12-15T13:22:02Z
16555015,nyem,10463,4,316209,2007-12-15T13:22:59Z
16555054,kucai,536853,6,17452978,2013-08-22T10:04:28Z
16555139,nyem,10463,8,316209,2007-12-15T13:21:14Z
16556303,kucai,536853,12,25359999,2014-09-11T04:13:07Z
16556349,kucai,536853,6,20404918,2014-02-06T01:55:39Z
16556793,Kai Adam,5259280,6,47119740,2017-03-24T09:35:29Z
16557295,mccay_l,709025,6,12063854,2012-06-30T09:18:10Z
16650981,Pizza1016,838520,9,27753880,2014-12-28T14:37:16Z
18031812,nyem,10463,7,217059,2008-02-27T18:54:59Z
18041616,kucai,536853,8,18782474,2013-11-08T13:51:27Z
18060812,nyem,10463,6,629065,2008-07-30T01:31:43Z
18061269,kucai,536853,6,10186204,2011-12-23T11:09:05Z
18062575,nyem,10463,4,851252,2009-01-29T12:34:08Z
18062594,nyem,10463,4,851252,2009-01-29T12:34:43Z
18062686,kucai,536853,2,10186204,2011-12-23T11:08:50Z
18066170,NE2,207745,7,9181205,2011-09-01T02:16:56Z
18066442,mahau,160164,15,11524991,2012-05-07T05:02:52Z
18069232,nyem,10463,10,1518798,2009-06-14T20:31:16Z
18266397,nyem,10463,7,1344586,2009-05-28T18:10:28Z
18266637,kucai,536853,8,15122113,2013-02-22T11:32:41Z
18266815,nyem,10463,6,1344586,2009-05-28T18:10:27Z
